name,latitude_deg,longitude_deg,country,municipality,iata_code
Zhangjiakou Ningyuan Airport,40.738602,114.93,CN,Zhangjiakou,ZQZ
Tangshan Zunhua Air Base,40.102501,117.887001,CN,Tangshan,
Chengdu Huangtianba Air Base,30.705299,103.949997,CN,Chengdu (Qingyang),
Baoshan Yunrui Airport,25.053301,99.168297,CN,Baoshan (Longyang),BSD
Chongqing Baishiyi Air Base,29.4953,106.359001,CN,Chongqing,
Lincang Boshang Airport,23.7381,100.025002,CN,Lincang,LNJ
Luliang Air Base,24.988192,103.642833,CN,Qujing (Luliang),
Honghe Mengzi Airport / Mengzi Air Base,23.3953,103.334,CN,Honghe,
Qionglai Air Base,30.49099,103.466139,CN,Chengdu (Qionglai),
Xigaze Peace Airport / Shigatse Air Base,29.3519,89.311401,CN,Xigazê (Samzhubzê),RKZ
Wenshan Air Base,23.715599060058594,103.8270034790039,CN,,
Xiangyun Midu Air Base,25.445299,100.735001,CN,Dali (Xiangyun),
Panzhihua Bao'anying Airport,26.54,101.79852,CN,Panzhihua (Renhe),PZI
Baihe Ningming Air Base,22.120481,107.125046,CN,Ningming,
Changsha Datuopu Airport / Changsha Air Base,28.068522,112.957306,CN,Changsha (Tianxin),
Dangyang Air Base,30.798599,111.809998,CN,Yichang (Dangyang),
Foluo Northeast Air Base,18.6922,109.161003,CN,Ledong (Da'anzhen),
Foshan Shadi Airport,23.0833,113.07,CN,Foshan (Nanhai),FUO
Guiping Mengxu Air Base,23.330799,110.009003,CN,Guiping (Guigang),
Xinyang Minggang Airport,32.540819,114.079141,CN,Xinyang,XAI
Huizhou Pingtan Airport,23.049999,114.599998,CN,Huizhou (Pingtan),HUZ
Jialaishi Air Base,19.697201,109.725998,CN,Lingao (Jialai),
Leiyang Air Base,26.58720016479492,112.89199829101562,CN,,
Lingshui Air Base,18.4944,109.987999,CN,Lingshui (Huayuan),
Shangqiu Air Base,34.449507,115.459261,CN,Shangqiu,
Zhengzhou Air Base,34.86125,113.729631,CN,Zhengzhou,
Shaoguan Danxia Airport,24.9786,113.420998,CN,Shaoguan,HSC
Suixi Air Base,21.3958,110.199997,CN,Zhanjiang (Suixi),
Jinggangshan Airport,26.856899,114.737,CN,Ji'an,JGS
Baise Youjiang Airport,23.7206,106.959999,CN,Baise (Tianyang),AEB
Guodu Air Base,36.000428,117.625833,CN,"Xintai, Tai'an",
Xiaogan Air Base,30.95359,113.911774,CN,Xiaogan (Xiaonan),
Lianyungang Huaguoshan International Airport,34.41406,119.17899,CN,Lianyungang,LYG
Cangxian Air Base,38.403025,116.930924,CN,Cangzhou,
Dongying Shengli Airport,37.50137,118.789863,CN,Dongying (Kenli),DOY
Jiaozhou Jiaocheng Air Base,36.331163,120.025538,CN,Qingdao (Jiaozhou),
Jiugucheng Air Base,37.491153,116.116726,CN,Hengshui,
Kaifeng Air Base,34.75389862060547,114.33899688720705,CN,Kaifeng,
Laiyang Air Base,36.9636,120.591003,CN,Yantai,
Luyang Air Base,33.685434,112.89053,CN,Xuchang (Pingdingshan),
Xingcheng Air Base,40.580328,120.700374,CN,Huludao (Xingcheng),XEN
Xuzhou Daguozhang Air Base,34.229285,117.245665,CN,Xuzhou,
Zhucheng Air Base,36.027468,119.43778,CN,Weifang (Zhucheng),
Altay Xuedu Airport,47.749886,88.085808,CN,Altay,AAT
Baoji Air Base,34.53125,107.470679,CN,Baoji (Fengxiang),
Gonghe Air Base (under construction),36.3367,100.480003,CN,Hainan (Gonghe),
Huangdicun Naval Air Base,40.49979,120.659295,CN,Huludao,
